TWVS TRACKER REVIEW — cumulative displayed entries (Oct 2025 → June 2026)

=== Stray Kids (109 songs · 3464♥) ===
  103♥  Stray Kids — Bleep   [12:23 01:29 02:26 03:25]
   22♥  Blumengarten, Paula Hartmann — paris syndrom   [05:10 06:12]
   21♥  Bambie Thug — Doomsday Blue   [03:13 04:8]
   19♥  Ayreon — The Day That the World Breaks Down   [01:3 02:2 03:2 04:4 05:4 06:4]
   15♥  AnnenMayKantereit — catalog   [10:15]
   13♥  Seeed — Augenbling   [11:13]
   13♥  Yu — Werde ich gesund   [06:13]
   13♥  Berq x Paula Hartmann — Zahl mir Deinen Schmerz heim   [06:13]
   12♥  Berq — Mein Hass tritt dir die Haustür ein   [01:12]
   12♥  Måneskin — Torna a casa   [03:6 04:6]
   11♥  Berq, Paula Hartmann — Zahl mir Deinen Schmerz heim   [05:11]
   10♥  Berq — Rote Flaggen   [11:10]
   10♥  Aurora — Running with the wolves   [03:7 04:3]
   10♥  Stromae — Formidable   [05:10]
    9♥  AnnenMayKantereit — Ausgehen   [12:9]
    9♥  Stromae — Papaoutai   [03:9]
    9♥  Slimane — Mon Amour   [03:9]
    8♥  Käärijä — Cha Cha Cha   [02:8]
    8♥  Baby Lasagna — Rim Tim Tagi Dim   [03:8]
    7♥  Berq — 16min Live Session   [02:7]
    7♥  Aurora — KEXP Iceland   [03:4 04:3]
    7♥  Stromae — catalog   [04:7]
    7♥  Stromae — Multitude   [05:7]
    7♥  KAJ — Economy plus   [05:3 06:4]
    6♥  Berq — Heimweg   [01:6]
    6♥  Alexander Rybak — Fairytale   [04:6]
    5♥  Aurora — Aurora in Nidarosdomen   [02:5]
    5♥  Nightwish — Sleeping Sun   [03:5]
    4♥  Rosalía — LuX   [11:3 01:1]
    4♥  Aurora — Nidarosdomen concert   [11:1 01:3]
    4♥  Floor Jansen — Old and Wise   [03:4]
    4♥  Aurora — Little Boy in the Grass   [03:4]
    4♥  Stromae — Tiny Desk   [03:4]
    4♥  Floor Jansen — While Love Died   [04:4]
    4♥  Zara Larsson — Lush Life & Midnight Sun   [06:4]
    3♥  Wardruna — Helvegen   [10:3]
    3♥  Aurora — catalog   [11:3]
    3♥  Woodkid — Iron   [12:3]
    3♥  Floor Jansen — Oi joulüyö   [12:3]
    3♥  ReVamp — Disdain   [01:2 05:1]
    3♥  Aurora — Soft Universe at Nidarosdomen   [02:3]
    3♥  Aurora — Queendom   [04:3]
    3♥  Stromae — Quand c'est   [05:3]
    3♥  Colm R McGuiness — Side-side-side quest   [06:3]

=== More K-Pop / Korean (177 songs · 1791♥) ===
   45♥  EXO — catalog   [10:45]
   43♥  Seventeen — Killing Voice   [12:5 01:7 02:20 03:11]
   39♥  Kim Jong Kook — Killing Voice   [10:4 01:7 02:5 03:4 04:4 05:8 06:7]
   37♥  DAY6 — Killing Voice   [03:7 04:11 05:16 06:3]
   34♥  Taeyeon — INVU   [02:3 03:10 04:9 05:6 06:6]
   32♥  Taeyeon — Killing Voice   [12:10 02:11 05:9 06:2]
   31♥  Woodz — Archive.1   [03:8 04:15 05:8]
   30♥  Jongho / Eunkwang / Seungmin — Love Poem   [10:13 11:17]
   28♥  Mamamoo — Immortal Songs Medley   [11:8 05:17 06:3]
   27♥  PSY — That That   [03:7 05:10 06:10]
   26♥  Taeyang — Eyes, Nose, Lips   [05:16 06:10]
   26♥  SHINee — Sherlock   [05:17 06:9]
   23♥  WOODZ — I'll Never Love Again   [10:7 01:8 02:8]
   23♥  Lee Mujin Service — catalog   [11:2 03:21]
   21♥  SB19 — QUIT   [12:4 01:17]
   21♥  Red Velvet — Feel My Rhythm   [02:9 03:9 04:3]
   21♥  aespa — Armageddon   [02:4 04:6 05:11]
   20♥  Red Velvet — Cosmic   [01:7 03:13]
   19♥  KATSEYE — catalog   [10:6 11:13]
   19♥  Red Velvet — Killing Voice   [10:2 11:8 01:9]
   18♥  Rain — Switch To Me   [01:5 02:3 03:4 05:6]
   18♥  SEVENTEEN — Intro & Killing Voice   [02:18]
   18♥  YB feat. Seungmin — Peppermint Candy   [03:18]
   18♥  SEVENTEEN — Don't Wanna Cry   [04:3 05:15]
   18♥  BTOB — Wind and Wish   [05:18]
   16♥  Ailee — Killing Voice   [11:4 05:7 06:5]
   16♥  TVXQ — Killing Voice   [12:5 05:7 06:4]
   16♥  XLOV — Serve   [06:16]
   14♥  Forestella — Je Suis Malade   [04:14]
   14♥  (G)I-DLE — Killing Voice   [04:6 05:8]
   14♥  Jun — Lee Mujin Service   [04:5 05:9]
   14♥  Forestella — Time in a Bottle   [04:3 05:9 06:2]
   14♥  Various — KPOP HISTORY in 20mins   [05:14]
   13♥  K/DA — POP/STARS   [10:13]
   13♥  IU — Killing Voice   [11:13]
   13♥  Dreamcatcher — Justice   [11:8 12:5]
   13♥  Woodz — Accident   [11:6 02:7]
   13♥  PSY featuring Suga — That That   [04:13]
   13♥  Tomorrow X Together — Song Medley   [05:13]
   13♥  NCT Dream — Killing Voice   [05:10 06:3]
   13♥  Wendy — Lee Mujin Service   [05:9 06:4]
   13♥  BTOB — Higher   [06:13]
   12♥  FTISLAND — Serious   [10:3 02:2 03:3 04:2 05:1 06:1]
   12♥  NMIXX — Blue Valentine   [11:12]
   12♥  TXT — Tiny Desk Korea   [11:12]
   12♥  Mamamoo — Killing Voice   [12:12]
   12♥  Red Velvet — Peek-A-Boo   [03:3 04:7 06:2]
   12♥  DK X SEUNGKWAN — Die With A Smile   [05:12]
   11♥  P1Harmony — Pretty Boy   [01:8 02:3]
   11♥  aespa — Thirsty   [02:3 03:8]
   11♥  Xdinary Heroes — catalog   [03:10 05:1]
   11♥  Monsta X — Heal   [04:2 05:5 06:4]
   11♥  SEVENTEEN — 10TH ANNIVERSARY B-DAY PARTY: BURST Stage   [05:11]
   11♥  Lee Changsub — Lee Mujin Service   [06:11]
   10♥  Taemin — Heaven   [01:10]
   10♥  Babymonster — Stuck in the Middle   [03:1 04:3 05:3 06:3]
   10♥  BTOB Seo Eunkwang & Hwang Soonok — With Love on Immortal Songs 2   [05:10]
   10♥  Girls' Generation — I GOT A BOY   [05:6 06:4]
   10♥  Xdinary Heroes — FiRE (My Sweet Misery)   [05:4 06:6]
   10♥  BTOB — Finale   [06:10]
    9♥  TXT — Run Away   [10:8 11:1]
    9♥  ADÉLA — SUPERSCAR   [11:6 12:3]
    9♥  Forestella — catalog   [11:4 12:1 01:4]
    9♥  AKMU — catalog   [11:3 12:6]
    9♥  Hwasa — Good Goodbye   [11:3 03:6]
    9♥  TVXQ — catalog   [02:9]
    9♥  ITZY — That's a No No   [03:9]
    9♥  IVE — Killing Voice   [03:8 04:1]
    9♥  TVXQ — Wrong Number   [03:6 04:3]
    9♥  TXT — Vocal Medley   [04:9]
    9♥  SEVENTEEN — Pinwheel / TRAUMA / Lilili Yabbay   [04:9]
    9♥  BTOB — catalog   [04:4 05:5]
    9♥  Red Velvet — Zimzalabim   [05:9]
    9♥  DK x Seungkwan — Blue   [05:9]
    9♥  MODYSSEY — HOOK   [05:9]
    9♥  BTOB Changsub — Lee Mujin Service   [05:9]
    9♥  SEVENTEEN — Our Dawn is Hotter than Day   [06:9]
    8♥  Mamamoo — Where Are We Now?   [10:8]
    8♥  Jonghyun — Let Me Out   [11:5 12:3]
    8♥  WOODZ — Drowning   [12:8]
    8♥  Kang Daniel — Antidote   [03:3 04:3 05:1 06:1]
    8♥  Taemin — Coachella Set   [04:8]
    8♥  aespa — drama   [05:8]
    8♥  BTOB Hyunsik — LIVE compilation   [05:8]
    8♥  Red Velvet — RBB (Really Bad Boy)   [05:7 06:1]
    8♥  iKon — I'm OK   [06:8]
    7♥  Taemin — Danger   [10:7]
    7♥  NCT 127 — Killing Voice   [11:4 06:3]
    7♥  NMIXX — catalog   [11:1 12:3 01:3]
    7♥  NewJeans — Hype Boy   [12:7]
    7♥  Dreamcatcher — catalog   [02:7]
    7♥  I-DLE — HWAA   [03:7]
    7♥  XG — Winter without you   [03:4 04:3]
    7♥  BIGBANG — Bang Bang Bang + Fantastic Baby + Sober   [05:7]
    7♥  BTOB — Finale (Our Concert)   [05:7]
    7♥  BTOB — Encore:Outro   [05:7]
    7♥  Keeho — Creep   [05:4 06:3]
    6♥  NMIXX — High Horse   [10:6]
    6♥  Red Velvet — catalog   [10:6]
    6♥  JYP — catalog   [11:6]
    6♥  Big Bang — catalog   [12:6]
    6♥  Apink — Killing Voice   [01:1 04:2 06:3]
    6♥  Red Velvet — So Good   [02:6]
    6♥  (G)I-DLE — Nxde   [02:6]
    6♥  Woodz — Tide   [02:6]
    6♥  Woodz — Cinema   [03:6]
    6♥  D.O / Doyoung / Baekhyun / Sungmin / Han — Lee Mujin Service Episodes   [04:6]
    6♥  SEVENTEEN — Live at Lollapalooza Berlin 2024   [04:6]
    6♥  The Boyz — The Stealer   [04:6]
    6♥  Forestella — Bad Romance / Scarborough Fair   [04:6]
    6♥  SEVENTEEN — Ready to Love   [04:6]
    6♥  Xiaojun — Lee Mujin Service   [04:1 05:5]
    6♥  Eric Nam — Wildfire   [05:4 06:2]
    6♥  Wendy — Like Water   [05:6]
    6♥  Aespa — Dirty Work   [05:6]
    6♥  xikers — do or die   [05:6]
    6♥  Seo Eunkwang — Golden   [05:6]
    6♥  Lee Changsub — Mystery Duets   [05:6]
    6♥  BTOB-BLUE — When It Rains   [05:6]
    6♥  Monsta X — Baby Blue   [05:3 06:3]
    6♥  Irene — Like A Flower   [05:2 06:4]
    6♥  Seventeen — Tipsy Live 2   [06:6]
    6♥  Seo Eunkwang & Hwang Soonok — With Love on Immortal Songs 2   [06:6]
    5♥  EXO — Open Arms   [10:5]
    5♥  IU — Love Wins All   [10:5]
    5♥  ZEROBASEONE — Iconik   [11:5]
    5♥  aespa — catalog   [11:5]
    5♥  TVXQ — Psycho   [01:5]
    5♥  Forestella — Despacito   [02:5]
    5♥  Forestella — Bad Romance   [02:5]
    5♥  KISS OF LIFE — R.E.M   [02:4 03:1]
    5♥  Oh My Girl — Classified   [03:5]
    5♥  Winter — Confetti   [03:5]
    5♥  GFRIEND — ROUGH   [03:5]
    5♥  Dreamcatcher — Jazz Bar   [03:5]
    5♥  SEVENTEEN — Kidult   [04:5]
    5♥  SEVENTEEN — Super   [04:5]
    5♥  Rolling Quartz — catalog   [04:5]
    5♥  SF9 — By Your Side   [04:5]
    5♥  Forestella — Inner Universe   [04:2 05:3]
    5♥  Forestella — Hijo de la Luna   [05:5]
    5♥  Forestella — Lazenca Save Us   [05:5]
    5♥  Taeyang — Wedding Dress   [05:5]
    5♥  BTOB — We Together   [05:5]
    5♥  Seo Eunkwang — The Man   [05:5]
    5♥  Monsta X — Growing Pains   [05:2 06:3]
    5♥  P1 Harmony — L.O.Y.L.   [05:2 06:3]
    5♥  SB19 — Wakas at Simula Concert   [06:5]
    5♥  SHINee — Atmos   [06:5]
    5♥  Tomorrow X Together — Day and Night Medley   [06:5]
    5♥  SHINee — Identity   [06:5]
    5♥  Epik High — Fan   [06:5]
    4♥  EXO — Overdose   [10:4]
    4♥  Big Mama — catalog   [11:4]
    4♥  EXO — Mama   [11:4]
    4♥  Oneus — Lit   [02:4]
    4♥  SEVENTEEN — Rolling Stone: In My Room   [03:4]
    4♥  TWICE — I Can't Stop Me   [03:4]
    4♥  Taeyeon — catalog   [03:4]
    4♥  TripleS — Girls Never Die   [03:4]
    4♥  Xikers — Witch   [03:4]
    4♥  Martin — Lee Mujin Service   [04:4]
    4♥  Seungkwan — King of the Masked Singer   [04:4]
    4♥  MINNIE — Obsession   [05:4]
    4♥  Jessi — Killing Voice   [05:4]
    4♥  WayV — The Fifth Season   [05:4]
    4♥  xikers — delulu   [05:4]
    4♥  aespa — Supernova   [05:4]
    4♥  Sungjae — beautiful thing   [05:4]
    4♥  Sungjae — lie   [05:4]
    4♥  BTOB — when it rains   [05:4]
    4♥  aespa — lemonade   [05:1 06:3]
    4♥  &TEAM — Heartbreak Time Machine Live   [06:4]
    4♥  aespa — Savage   [06:4]
    4♥  JUSTB — catalog   [06:4]
    4♥  Akmu — Killing Voice   [06:4]
    4♥  iKON — Killing Verse   [06:4]

=== ENHYPEN (15 songs · 112♥) ===
   17♥  Jake — Lee Mujin Service   [03:7 04:10]
   14♥  ENHYPEN — Fatal trouble recording and Demons cover   [02:14]
   11♥  ENHYPEN — Killing Voice   [12:11]
   10♥  ENHYPEN — Jake, Jay and Heeseung covers   [02:10]
    7♥  Enhypen — The Sin: Vanish Album Production Story Behind pt. 2   [02:2 03:5]
    7♥  ENHYPEN — Demons Cover   [03:7]
    7♥  ENHYPEN — Coachella Week 2 Full Performance   [05:7]
    6♥  Jay (ENHYPEN) — Always (Bon Jovi cover)   [02:6]
    6♥  ENHYPEN — Knife (remixes)   [02:6]
    5♥  Jay, Yuuri — Dry Flower   [03:5]
    5♥  ENHYPEN — No Way Back   [03:5]
    5♥  ENHYPEN — The Sin: Vanish Album Production Story   [04:5]
    4♥  ENHYPEN — Shout Out   [02:4]
    4♥  Heeseung (ENHYPEN) — 10/09   [02:4]
    4♥  ENHYPEN — Coachella Weekend 2 Performance   [06:4]

=== Rock / Alt / Folk (78 songs · 644♥) ===
   44♥  Sofia Isella — The Doll People   [03:9 04:9 05:10 06:16]
   34♥  The Rose — Back to me   [01:10 02:6 03:7 04:6 05:5]
   29♥  Fall Out Boy — So Much (For) Stardust   [12:2 01:3 02:3 03:7 04:6 05:8]
   22♥  My Chemical Romance — Planetary (Go!)   [01:3 03:6 04:5 06:8]
   21♥  My Chemical Romance — The Black Parade   [03:7 04:6 06:8]
   20♥  Devin Townsend — Kingdom   [10:3 04:7 05:6 06:4]
   20♥  My Chemical Romance — Vampires Will Never Hurt You   [12:4 01:6 03:5 04:5]
   18♥  The Rose — WRLD   [12:4 02:3 03:3 06:8]
   15♥  The Rose — Sorry   [11:7 06:8]
   15♥  Mitski — Nobody   [02:2 03:4 04:3 05:6]
   15♥  YB, Seungmin — Peppermint Candy   [04:15]
   14♥  My Chemical Romance — Helena   [03:6 04:8]
   13♥  Band-Maid — Domination   [04:6 06:7]
   11♥  Provinz — Hymne gegen euch   [01:11]
   11♥  Noah Kahan — The Great Divide   [03:11]
   11♥  Nickelback — Bones for the Crows   [04:3 05:4 06:4]
   10♥  Beyond the Black — Shine and Shade   [10:3 11:7]
   10♥  Maneskin — Beggin   [01:10]
    9♥  Unprocessed — Sacrifice Me   [10:1 11:3 04:5]
    8♥  My Chemical Romance — The Ghost of You   [10:8]
    8♥  Twenty One Pilots — Downstairs   [11:2 02:3 05:1 06:2]
    8♥  Avenged Sevenfold — Danger Line   [01:3 02:5]
    8♥  Voice Play — Nothing Else Matters   [04:3 05:5]
    8♥  My Chemical Romance — Bulletproof Heart   [05:8]
    8♥  My Chemical Romance — The Sharpest Lives   [05:8]
    7♥  My Chemical Romance — Sing   [11:7]
    7♥  Evanescence — Afterlife   [11:7]
    7♥  My Chemical Romance — You Know What They Do to Guys Like Us In Prison   [11:5 03:2]
    7♥  Hozier — Shrike   [12:7]
    7♥  My Chemical Romance — mama   [12:7]
    7♥  Mad Tsai — catalog   [01:6 02:1]
    7♥  My Chemical Romance — This Is How I Disappear   [02:7]
    7♥  Sufjan Stevens — fourth of july   [04:3 05:4]
    7♥  Paris Paloma — Labour   [05:7]
    7♥  The HU — Lost Soul   [06:7]
    6♥  Fall Out Boy — Heaven's Gate   [10:6]
    6♥  Fall Out Boy — Headfirst Slide into Cooperstown on a Bad Bet   [11:6]
    6♥  Noah Kahan — Orange Juice   [02:6]
    6♥  Kovacs & Till Lindemann — Child of Sin   [03:6]
    6♥  My Chemical Romance — This Is How I Disappear / Vampires Will Never Hurt You / Helena / DESTROYA   [04:6]
    6♥  Fall Out Boy — G.I.N.A.S.F.S.   [06:6]
    5♥  Pierce The Veil — King for a Day   [10:5]
    5♥  Lola Young — Spiders   [10:2 12:3]
    5♥  Hayley Williams — True Believer   [01:5]
    5♥  Meg Myers — catalog   [01:5]
    5♥  Nightwish — Weak Fantasy   [01:5]
    5♥  Pierce the Veil — A Match Into Water   [03:5]
    5♥  Maphra — Doomed   [03:5]
    5♥  Bad Omens — Death Of Peace Of Mind   [05:3 06:2]
    5♥  Lizzy McAlpine — Ceilings   [05:2 06:3]
    5♥  Coldplay x BTS — My Universe   [06:5]
    5♥  Ladrones — catalog   [06:5]
    5♥  The Rose — Once Upon a WRLD concert   [06:5]
    4♥  Bad Omens — Nowhere to Go   [10:4]
    4♥  Missioned Souls — Tunnel of Love   [10:4]
    4♥  Florence and The Machine — Sympathy Magic   [11:4]
    4♥  Mitski — Drunk Walk Home   [11:4]
    4♥  The Rose — catalog   [01:4]
    4♥  Avenged Sevenfold — A Little Piece of Heaven   [02:4]
    4♥  Home Free — Man of Constant Sorrow / Folsom Prison Blues   [02:4]
    4♥  Noah Kahan — Northern Attitude   [03:4]
    4♥  The Kill — The Kill   [04:4]
    4♥  Walk off the Earth — Eye of the Tiger   [04:4]
    4♥  My Chemical Romance — Demolition Lovers   [04:4]
    4♥  Alestorm — P.A.R.T.Y   [05:4]
    4♥  The Rose — Once Upon A WRLD   [06:4]
    3♥  Unleash the Archers — Tonight We Ride   [10:3]
    3♥  Alter Bridge — catalog   [10:3]
    3♥  The Dead South — In Hell I'll Be In Good Company   [10:3]
    3♥  Jeremy Enigk — Return of the Frog Queen   [11:3]
    3♥  Jinjer — Pisces   [11:3]
    3♥  Tool — The Pot   [11:1 02:2]
    3♥  The Warning — La Bamba / Twist and Shout (Mashup)   [01:3]
    3♥  Black Sabbath — Sabbath Bloody Sabbath   [01:3]
    3♥  The Warning — Animosity   [01:3]
    3♥  Unknown Band — Unknown Song   [03:3]
    3♥  Ladrones — Ay Ay Ay   [05:3]
    3♥  Şebnem Ferah — Delgeç   [05:3]

=== Anime (44 songs · 404♥) ===
   34♥  Minami — Crying for Rain   [12:5 02:7 03:2 04:5 05:15]
   31♥  Official Hige Dandism — Cry Baby   [01:4 03:10 05:12 06:5]
   29♥  Lisa — Gurenge   [05:16 06:13]
   27♥  Hiroshi Kitadani — We Are   [01:5 02:6 03:8 05:8]
   21♥  Aimer — Brave Shine   [05:7 06:14]
   17♥  LiSA — THIS ILLUSION   [04:5 05:6 06:6]
   13♥  Yoko Kanno — Tank!   [05:13]
   13♥  LiSA — Oath Sign   [05:6 06:7]
   12♥  Chanmina — Test Me   [02:7 05:5]
   12♥  Bocchi the Rock — catalog   [06:12]
   11♥  ufotable — Fate/Zero and Fate/Stay Night   [06:11]
   11♥  The Seatbelts — Real Folk Blues   [06:11]
   10♥  Yoh Kamiyama — Idol   [02:10]
    9♥  Queen Bee — Fire   [05:9]
    9♥  The Seatbelts — Tank! Extended Version Live   [06:9]
    8♥  Hiroyuki Sawano — catalog   [10:8]
    8♥  Ryo Yonemitsu — Frieren Ending Theme   [02:8]
    8♥  Hiroshi Kitadani — We Are! The First Take   [04:8]
    8♥  Amalee — Cruel Angel's Thesis   [05:8]
    7♥  Lisa — Homura   [10:7]
    7♥  Yoko Kanno/Origa — Rise   [05:7]
    6♥  Natori — Serenade   [02:6]
    6♥  RWBY — catalog   [04:6]
    6♥  N/A — Bocchi the Rock   [05:6]
    5♥  Belle OST — A Million Miles Away   [12:5]
    5♥  Steins;Gate — Opening Theme   [01:5]
    5♥  Jeff Williams — RWBY Trailers   [02:5]
    5♥  Oshi No Ko — catalog   [02:5]
    5♥  AmaLee — Tot Musica   [05:5]
    5♥  Makoto Shinkai — Your Name   [05:5]
    4♥  YOASOBI — Idol   [01:4]
    4♥  AmaLee — Uta's theme   [01:4]
    4♥  Steins;Gate — catalog   [02:4]
    4♥  Aimer — Last Stardust   [05:4]
    4♥  Aimer — Haru wa Yuku   [05:4]
    4♥  Nanaoakari — Good luck to me tomorrow   [05:4]
    4♥  Milet — Tell me   [06:4]
    4♥  Origa — Rise   [06:4]
    4♥  Origa — Inner Universe   [06:4]
    3♥  Hanezeve Caradhina — catalog   [11:3]
    3♥  Unknown — Akatsuki theme song   [04:3]
    3♥  Shiyui — Inferior   [05:3]
    3♥  Yoko Kanno — Inner Universe   [05:3]
    3♥  Aoi Yuuki — Ganbare! Kumoko-San   [05:3]

=== Video Game (52 songs · 371♥) ===
   29♥  Casey Edwards — Bury the Light   [05:17 06:12]
   20♥  Toby Fox — Undertale OST   [06:20]
   16♥  Against the Current — Legends Never Die   [03:16]
   16♥  Persona 5 — Life Will Change   [06:16]
   14♥  Yoko Shimomura — Simple and Clean   [06:14]
   13♥  Sheryl Lee Ralph — Blood Sweat and Tears   [12:7 02:6]
   12♥  Aerith — No Promises to Keep   [10:1 11:1 02:3 03:7]
   12♥  Okabe Keiichi — catalog   [06:12]
   11♥  Baka Mitai — Baka Mitai   [06:11]
   10♥  Mili feat. KIHOW from Myth and Roid — In Hell We Live, Lament   [05:10]
   10♥  Susan Calloway — Answers   [06:10]
    9♥  RWBY — Trailers   [03:9]
    9♥  Darren Korb ft. Ashley Barret — In the Blood   [05:9]
    9♥  Katamari Damacy — Katamari on the Rocks   [06:9]
    9♥  Silksong — Lace   [06:9]
    8♥  True Damage — GIANTS   [11:8]
    7♥  Genshin Impact — catalog   [01:3 02:4]
    7♥  Nobuo Uematsu — One-Winged Angel (Final Fantasy VII Remake)   [03:7]
    7♥  Amanda Achen — Tomorrow and Tomorrow   [04:7]
    7♥  Amanda Achen and the Eorzean Symphony — Tomorrow and Tomorrow   [05:4 06:3]
    7♥  Various — Cowboy Bebop   [06:7]
    7♥  Nobuo Uematsu — One-Winged Angel Rebirth   [06:7]
    6♥  Final Fantasy 16 — My Star   [01:3 04:3]
    5♥  K/DA — More   [11:5]
    5♥  Heartsteel — Paranoia   [01:5]
    5♥  catalog — No Promises to Keep   [01:5]
    5♥  Cecillia Cara — La Vaguelette   [04:5]
    5♥  N/A — One-Winged Angel Rebirth   [05:5]
    5♥  Christen Linke — The Curse of the Sad Mummy   [05:5]
    5♥  Nao Ojika — Luna Say Maybe   [05:5]
    5♥  Christopher Tin — Sogno di Volare   [05:5]
    5♥  Hoyoverse — Star Rail LIVE 2025   [06:5]
    4♥  Pentakill — catalog   [10:4]
    4♥  Mint Fantome — Snake Eater   [10:4]
    4♥  Final Fantasy VII — One-Winged Angel   [02:4]
    4♥  Final Fantasy VII Remake — One-Winged Angel   [04:4]
    4♥  Aimer — My Star   [05:4]
    4♥  Cécilia Cara — La Vaguelette   [05:4]
    4♥  Amanda Achen — My Star   [06:4]
    4♥  Temari Tsukimura — Luna Say Maybe   [06:4]
    4♥  Azumi Takahashi, Lotus Juice — Color Your Night   [06:4]
    4♥  Taiga — I Ask   [06:4]
    4♥  David Briand — My Curse, My Fate   [06:4]
    3♥  The Stupendium — Adequate Wordsmith   [10:3]
    3♥  Masayoshi Soken — FFXIV OST   [10:3]
    3♥  Miracle of Sound — catalog   [10:3]
    3♥  Clair Obscur OST — Arrête de m'aimer   [02:3]
    3♥  Amanda Achen and Jason Charles Miller — Shadowbringers   [05:3]
    3♥  Tia Ray — Starfall   [05:3]
    3♥  Chalkeaters — count to three   [05:3]
    3♥  u32 — Blur   [06:3]
    3♥  Ai Mori, Astra Yao — Stars Align   [06:3]

=== Musicals & Soundtracks (11 songs · 71♥) ===
   10♥  Queen — Highlander Soundtrack   [06:10]
    9♥  Cast Recording — Ballad of Jane Doe   [10:9]
    8♥  Various — Arcane OST (Dynasties and Dystopia / What Could Have Been / Come Play)   [03:8]
    8♥  Fortiche — ARCANE   [05:8]
    7♥  Ironmouse — The Ballad of Jane Doe   [04:7]
    6♥  Waitress Cast — Waitress   [03:6]
    5♥  Repo! The Genetic Opera cast — Zydrate Anatomy   [10:5]
    5♥  Starkids — The Guy Who Didn't Like Musicals   [04:5]
    5♥  Emily Rohm — The Ballad of Jane Doe   [05:5]
    4♥  Come From Away cast — Come From Away   [10:4]
    4♥  Sweeney Todd cast — Sweeney Todd the Demon Barber of Fleet Street   [06:4]

=== Pop & Misc (67 songs · 498♥) ===
   44♥  F.HERO × MILLI — Mirror Mirror   [12:10 01:20 03:14]
   28♥  Jeff Satur — Rain Wedding   [02:8 03:6 04:5 05:4 06:5]
   25♥  Bo Burnham — INSIDE   [10:3 03:11 05:11]
   22♥  Tom Cardy — Transcendental Cha Cha Cha   [11:5 12:6 01:2 05:5 06:4]
   13♥  Gorillaz — catalog   [03:5 04:3 05:5]
   11♥  Black Pumas — Colors   [10:3 02:3 06:5]
   11♥  Alex Warren — Eternity   [10:1 11:4 12:6]
   11♥  Doja Cat — Vie   [11:11]
   11♥  Jeff Satur — Ghost   [11:3 02:3 04:5]
   11♥  Jessie J — My Way   [03:2 04:4 05:5]
   10♥  Tom Cardy — Red Flags   [03:10]
   10♥  St. Paul and the Broken Bones — Fall Moon   [04:5 06:5]
   10♥  Slayyyter — $t Loser   [05:7 06:3]
    9♥  FLAVOR FOLEY — Static   [04:3 05:6]
    9♥  Gorillaz — animated trilogy   [06:9]
    8♥  Ninja Sex Party — Danny Don't You Know   [10:6 12:2]
    8♥  Les Friction — Louder than Words   [11:5 12:2 01:1]
    8♥  Jeff Satur — Why Don't You Stay   [05:4 06:4]
    6♥  Louder Than Bombs — Louder Than Bombs   [10:6]
    6♥  Faouzia — Porcelain   [10:3 04:3]
    6♥  Faouzia — catalog   [11:4 03:2]
    6♥  Home Free — Do You Hear What I Hear   [11:2 12:4]
    6♥  Pentatonix — Dance of the Sugarplum Fairy   [12:6]
    6♥  Sammy Rae & The Friends — Jackie Onassis   [01:6]
    6♥  Orville Peck — Let Me Drown   [01:4 04:2]
    6♥  The Living Tombstone — Lullaby for a Princess   [03:6]
    6♥  Woosung — Lazy   [03:5 06:1]
    6♥  Elizabeth Bloodflame — My Heart Will Go On   [04:6]
    6♥  Alan Walker / Ghost Huang — Sad Sometimes   [05:2 06:4]
    6♥  William Jakrapatr — เพียงรัก (Piang Ruk)   [06:6]
    5♥  Bo Burnham — Content   [10:5]
    5♥  Glen Hansard and Marketa Irglova — Falling Slowly   [10:4 11:1]
    5♥  Steam Powered Giraffe — Fire Fire   [11:2 12:3]
    5♥  Pentatonix — God Rest Ye Merry Gentlemen   [12:5]
    5♥  Sara Bareilles and Rufus Wainwright — She Used to Be Mine   [01:5]
    5♥  ADÉLA — SexOnTheBeat   [01:5]
    5♥  The Hu — catalog   [01:5]
    5♥  Ninja Sex Party — catalog   [01:5]
    5♥  Rina Sawayama — Bad Friend   [02:2 05:3]
    5♥  eaJ — when the rain stops   [03:1 05:4]
    5♥  Isaa Corva — Dream of Me   [04:5]
    5♥  Ninja Sex Party — Dance Til You Stop   [05:5]
    5♥  William Jakrapatr — เพียงรัก   [05:5]
    5♥  Olivia Rodrigo — Begged   [05:5]
    5♥  Kidd Voodoo — Confortas pero dañas   [05:3 06:2]
    5♥  Dimash / Terry Lin / Ghost Huang — Unforgettable Day   [05:2 06:3]
    5♥  Dave Larson/Ponyphonic — Lullaby for a princess   [06:5]
    5♥  Underscores — Music   [06:5]
    5♥  Underscores — Do it   [06:5]
    4♥  Faouzia — Grenade   [10:4]
    4♥  Faouzia — RIP LOVE   [10:4]
    4♥  Demi Lovato — Dancing with the Devil   [12:4]
    4♥  Etta Marcus — Death Grips   [01:2 02:2]
    4♥  Mousey & Caleb Hyles — Free   [01:4]
    4♥  Jeremy Jordan, Jarrod Spector — The Way it Ends   [02:4]
    4♥  Ninja Sex Party — Dance til your stop   [03:4]
    4♥  HomeFree — Folsom Prison Blues   [03:4]
    4♥  The Warning — catalog   [05:4]
    4♥  Ponyphonic — Lullaby for a Princess   [05:4]
    4♥  Black Gryphon — Mask   [05:4]
    4♥  Melanie Martinez — THE PLAGUE   [05:4]
    4♥  Madds Buckley — Red Means I Love you   [05:4]
